time,ahu_reaPFanRet_y,ahu_reaPFanSup_y,reaPEle_y,reaPFan_y,reaPPum_y
1530000,1.3056511253587209e-76,1.305651125417917e-76,285.8286202007385,2.611302250776638e-76,285.8286202007385
1530030,1.059057306142046e-86,1.0590573061907341e-86,510.6907853076601,2.11811461233278e-86,510.6907853076601
1530060,-2.706897205088218e-96,-2.706897205213008e-96,510.4413916291138,-5.413794410301226e-96,510.4413916291138
1530090,-4.121310685576943e-95,-4.121310685762067e-95,510.3307002668102,-8.24262137133901e-95,510.3307002668102
1530120,3.2660612001501626e-98,3.266061200298063e-98,510.3467083100979,6.532122400448226e-98,510.3467083100979
1530150,-5.758289787247776e-102,-5.7582897875491365e-102,510.48731682511686,-1.1516579574796911e-101,510.48731682511686
1530180,9.302571154051082e-99,9.30257115446926e-99,510.7597772242,1.8605142308520342e-98,510.7597772242
1530210,1.999251982962182e-100,1.9992519830480196e-100,511.18149424227755,3.9985039660102015e-100,511.18149424227755
1530240,3.027681312647179e-103,3.02768131280579e-103,511.78247761639284,6.055362625452969e-103,511.78247761639284
1530270,-2.3473414558756272e-104,-2.3473414560170093e-104,512.6100545856457,-4.694682911892636e-104,512.6100545856457
1530300,7.015771719114692e-106,7.015771719626711e-106,513.7371160089541,1.4031543438741403e-105,513.7371160089541
1530330,-2.0762614166870791e-103,-2.0762614167815414e-103,515.2763387823117,-4.152522833468621e-103,515.2763387823117
1530360,-1.820623310937839e-104,-1.8206233110173342e-104,517.4049811035519,-3.641246621955173e-104,517.4049811035519
1530390,-1.6435170098441226e-108,-1.6435170097978468e-108,520.4088376544721,-3.2870340196419692e-108,520.4088376544721
1530420,-6.439297097189325e-107,-6.439297097539353e-107,524.817082047949,-1.287859419472868e-106,524.817082047949
1530450,5.044969221820117e-108,5.044969222101687e-108,531.2700672425756,1.0089938443921805e-107,531.2700672425756
1530480,1.881134185819216e-112,1.8811341859396267e-112,527.0670359456597,3.762268371758843e-112,527.0670359456597
1530510,1.7109850310786365e-113,1.7109850311711498e-113,485.15427274035335,3.4219700622497863e-113,485.15427274035335
1530540,6.062708792435621e-119,6.062708792766784e-119,345.59505749781437,1.2125417585202406e-118,345.59505749781437
1530570,7.51797440083796e-129,7.517974401255185e-129,240.78704400467367,1.5035948802093144e-128,240.78704400467367
1530600,1.6835506399528276e-140,1.6835506400501725e-140,205.39357337729976,3.367101280003e-140,205.39357337729976
1530630,-4.762687893571613e-149,-4.7626878938329014e-149,205.31062238029617,-9.525375787404514e-149,205.31062238029617
1530660,-5.510803698167605e-156,-5.510803698467128e-156,205.31062238029617,-1.1021607396634734e-155,205.31062238029617
1530690,-1.078217670209513e-158,-1.0782176702696367e-158,205.31062238029617,-2.15643534047915e-158,205.31062238029617
1530720,2.657626943584502e-166,2.6576269438044353e-166,205.31062238029617,5.315253887388937e-166,205.31062238029617
1530750,-6.379496948227378e-162,-6.379496948580896e-162,205.31062238029617,-1.2758993896808272e-161,205.31062238029617
