time,hvac_reaAhu_PFanSup_y,hvac_reaAhu_PPumCoo_y,hvac_reaAhu_PPumHea_y,heaPum_reaPHeaPum_y,heaPum_reaPPumDis_y,chi_reaPChi_y,chi_reaPPumDis_y
1970-01-31 03:30:30,1710.451618069656,0.0,29.36147498388623,21374.155721649215,406.0805524410154,0.29574631318316486,0.002211891857054836
1970-01-31 03:31:00,1689.9658311349667,0.0,29.36147498388623,20782.414172777517,415.632087953109,0.295744871010618,0.002211891857054836
1970-01-31 03:31:30,1638.852909286079,0.0,29.36147498388623,20349.223159823046,424.510445976333,0.29574342866323294,0.002211891857054836
1970-01-31 03:32:00,1575.337484002676,0.0,29.361474983886197,19988.677276279832,432.7517304465172,0.2957419861410243,0.002211891857054836
1970-01-31 03:32:30,1508.771738604029,0.0,29.36147498388623,19660.57182354503,440.2891876167077,0.2957405434440053,0.002211891857054836
1970-01-31 03:33:00,1442.48470772879,0.0,29.36147498388623,19337.5960100908,447.0945955064581,0.2957391005721875,0.002211891857054836
1970-01-31 03:33:30,1377.5511189337185,0.0,29.36147498388623,19008.376346467197,453.1952643436069,0.2957376575255843,0.002211891857054836
1970-01-31 03:34:00,1314.3244864421733,0.0,29.36147498388623,18706.377631023486,458.6482466052612,0.2957362143042102,0.002211891857054836
1970-01-31 03:34:30,1252.9278472262854,0.0,29.36147498388623,18381.271863953476,462.1760723369112,0.29573477090807815,0.002211891857054836
1970-01-31 03:35:00,1193.4238734378728,0.0,29.36147498388623,18032.88323064095,463.18826950288803,0.2957333273372002,0.002211891857054836
1970-01-31 03:35:30,1135.7796364366584,0.0,29.36147498388623,17737.957369560412,463.40650860758484,0.2957318835915907,0.002211891857054836
1970-01-31 03:36:00,1080.0790393688474,0.0,29.36147498388623,17499.83186201215,463.448416655968,0.2957304396712617,0.002211891857054836
1970-01-31 03:36:30,1026.4029733509437,0.0,29.36147498388623,17302.116981132494,463.4558358417595,0.2957289955762274,0.002211891857054836
1970-01-31 03:37:00,974.676174857454,0.0,29.36147498388623,17130.672439601996,463.4570367715293,0.2957275513064996,0.002211891857054836
1970-01-31 03:37:30,924.9678916990634,0.0,29.36147498388623,16976.249131725537,463.45722700916673,0.2957261068620917,0.002211891857054836
1970-01-31 03:38:00,877.2950711766844,0.0,29.36147498388623,16833.118231670287,463.45728778724686,0.29572466224301797,0.002211891857054836
1970-01-31 03:38:30,831.6894225655393,0.0,29.36147498388623,16698.097075773316,463.45728894995483,0.29572321744929164,0.002211891857054836
1970-01-31 03:39:00,788.1662123991345,0.0,29.36147498388623,16569.240045290026,463.4572886555422,0.2957217724809247,0.002211891857054836
1970-01-31 03:39:30,746.7447024053439,0.0,29.36147498388623,16445.470792154963,463.4572903202309,0.2957203273379298,0.002211891857054836
1970-01-31 03:40:00,707.4341376881276,0.0,29.36147498388623,16326.241156412652,463.4572900098788,0.295718882020322,0.002211891857054836
1970-01-31 03:40:30,670.2395037184599,0.0,29.361474983886197,16211.32136525206,463.45729011082415,0.2957174365281141,0.002211891857054836
1970-01-31 03:41:00,645.5356674932309,0.0,29.36147498388623,16101.964353941357,463.45729012617375,0.29571599086131667,0.002211891857054836
1970-01-31 03:41:30,639.0432300096192,0.0,29.36147498388623,16015.407246425195,463.4572901285193,0.2957145450199455,0.002211891857054836
1970-01-31 03:42:00,636.6910438537757,0.0,29.36147498388623,15957.577160342153,463.45729012887676,0.2957130990040138,0.002211891857054836
1970-01-31 03:42:30,635.8387158349608,0.0,29.36147498388623,15921.29615247991,463.45729012893025,0.29571165281353323,0.002211891857054836
1970-01-31 03:43:00,635.5260131954161,0.0,29.36147498388623,15899.243039672998,463.45729012893776,0.2957102064485171,0.002211891857054836
1970-01-31 03:43:30,635.408005853635,0.0,29.36147498388623,15886.039907787084,463.45729012893884,0.2957087599089797,0.002211891857054836
1970-01-31 03:44:00,635.3601654502451,0.0,29.36147498388623,15878.136893089975,463.45729012893906,0.2957073131949331,0.002211891857054836
1970-01-31 03:44:30,635.3378880921339,0.0,29.36147498388623,15873.31525345574,463.45729012893906,0.29570586630639145,0.002211891857054836
1970-01-31 03:45:00,635.324885462802,0.0,29.36147498388623,15870.233342542224,463.45729012893906,0.29570441924336544,0.002211891857054836
1970-01-31 03:45:30,635.3155114119977,0.0,29.36147498388623,15868.100276334513,463.45729012893906,0.29570297200587226,0.002211891857054836
1970-01-31 03:46:00,635.3078188171868,0.0,29.36147498388623,15866.460615744045,463.45729012893906,0.2957015245939209,0.002211891857054836
1970-01-31 03:46:30,635.3007309364001,0.0,29.36147498388623,15865.05827241714,463.45729012893906,0.29570007700752715,0.002211891857054836
1970-01-31 03:47:00,635.2941927187758,0.0,29.36147498388623,15863.75192943296,463.45729012893906,0.29569862924670287,0.002211891857054836
