time,oveTSet_u,reaTZon_y
1970-01-24 07:29:00,293.65,294.2690596630989
1970-01-24 07:29:30,293.65,294.26570497500967
1970-01-24 07:30:00,293.65,294.2623383479024
1970-01-24 07:30:30,293.65,294.258960025672
1970-01-24 07:31:00,293.65,294.2555702500873
1970-01-24 07:31:30,293.65,294.2521692595123
1970-01-24 07:32:00,293.65,294.2487572891656
1970-01-24 07:32:30,293.65,294.24533456954526
1970-01-24 07:33:00,293.65,294.2419013259239
1970-01-24 07:33:30,293.65,294.2384577778331
1970-01-24 07:34:00,293.65,294.2350041385861
1970-01-24 07:34:30,293.65,294.23154061484934
1970-01-24 07:35:00,293.65,294.22806740626567
1970-01-24 07:35:30,293.65,294.22458470512476
1970-01-24 07:36:00,293.65,294.2210926960773
1970-01-24 07:36:30,293.65,294.2175915558896
1970-01-24 07:37:00,293.65,294.21408145323426
1970-01-24 07:37:30,293.65,294.2105625485133
1970-01-24 07:38:00,293.65,294.20703499371166
1970-01-24 07:38:30,293.65,294.2034984674531
1970-01-24 07:39:00,293.65,294.19995389029333
1970-01-24 07:39:30,293.65,294.19640116235735
1970-01-24 07:40:00,293.65,294.1928403486116
1970-01-24 07:40:30,293.65,294.1892715295258
1970-01-24 07:41:00,293.65,294.18569479538945
1970-01-24 07:41:30,293.65,294.1821102339042
1970-01-24 07:42:00,293.65,294.17851792603835
1970-01-24 07:42:30,293.65,294.1749179446549
1970-01-24 07:43:00,293.65,294.17131035407374
1970-01-24 07:43:30,293.65,294.16769520995217
1970-01-24 07:44:00,293.65,294.1640749624028
1970-01-24 07:44:30,293.65,294.160465141452
1970-01-24 07:45:00,293.65,294.15687917939306
1970-01-24 07:45:30,293.65,294.15332372661965
1970-01-24 07:46:00,293.65,294.1498018687541
1970-01-24 07:46:30,293.65,294.14631494976265
1970-01-24 07:47:00,293.65,294.1428633169974
1970-01-24 07:47:30,293.65,294.13944672027304
1970-01-24 07:48:00,293.65,294.13606456077446
1970-01-24 07:48:30,293.65,294.13271598835115
1970-01-24 07:49:00,293.65,294.1293999685048
1970-01-24 07:49:30,293.65,294.12611532127187
1970-01-24 07:50:00,293.65,294.1228607765763
1970-01-24 07:50:30,293.65,294.1196349863872
1970-01-24 07:51:00,293.65,294.1164365471532
1970-01-24 07:51:30,293.65,294.113264013826
1970-01-24 07:52:00,293.65,294.11011592359597
1970-01-24 07:52:30,293.65,294.106990802032
1970-01-24 07:53:00,293.65,294.10388718081407
1970-01-24 07:53:30,293.65,294.100803603126
1970-01-24 07:54:00,293.65,294.09773863145267
1970-01-24 07:54:30,293.65,294.0946908544021
1970-01-24 07:55:00,293.65,294.0916588921116
1970-01-24 07:55:30,293.65,294.08864140023684
1970-01-24 07:56:00,293.65,294.0856370727988
1970-01-24 07:56:30,293.65,294.0826446441548
1970-01-24 07:57:00,293.65,294.0796628902792
1970-01-24 07:57:30,293.65,294.0766906294758
1970-01-24 07:58:00,293.65,294.0737267226143
1970-01-24 07:58:30,293.65,294.0707700729676
1970-01-24 07:59:00,293.65,294.06781962571745
1970-01-24 07:59:30,293.65,294.0648743671893
1970-01-24 08:00:00,293.65,294.0619333238664
1970-01-24 08:00:30,288.15,294.0589936696326
1970-01-24 08:01:00,288.15,294.05604993769384
1970-01-24 08:01:30,288.15,294.05309743424914
1970-01-24 08:02:00,288.15,294.05013255024664
1970-01-24 08:02:30,288.15,294.0471523565791
1970-01-24 08:03:00,288.15,294.0441543069033
1970-01-24 08:03:30,288.15,294.04113622026034
1970-01-24 08:04:00,288.15,294.0380962210146
1970-01-24 08:04:30,288.15,294.03503268366387
1970-01-24 08:05:00,288.15,294.0319441914086
1970-01-24 08:05:30,288.15,294.0288295064323
1970-01-24 08:06:00,288.15,294.0256875481341
1970-01-24 08:06:30,288.15,294.0225173763372
1970-01-24 08:07:00,288.15,294.01931817756474
1970-01-24 08:07:30,288.15,294.01608925328037
1970-01-24 08:08:00,288.15,294.0128300094899
1970-01-24 08:08:30,288.15,294.00953994737665
1970-01-24 08:09:00,288.15,294.00621865479263
1970-01-24 08:09:30,288.15,294.00286579849956
1970-01-24 08:10:00,288.15,293.9994811170883
1970-01-24 08:10:30,288.15,293.99606441452784
1970-01-24 08:11:00,288.15,293.992615554296
1970-01-24 08:11:30,288.15,293.98913445405606
1970-01-24 08:12:00,288.15,293.9856210808408
1970-01-24 08:12:30,288.15,293.9820754467107
1970-01-24 08:13:00,288.15,293.97849760484974
1970-01-24 08:13:30,288.15,293.9748876460684
1970-01-24 08:14:00,288.15,293.9712456956786
1970-01-24 08:14:30,288.15,293.96757191071043
1970-01-24 08:15:00,288.15,293.9638664774376
1970-01-24 08:15:30,288.15,293.96012960918233
1970-01-24 08:16:00,288.15,293.95636154437034
1970-01-24 08:16:30,288.15,293.9525625448063
1970-01-24 08:17:00,288.15,293.94873289414534
1970-01-24 08:17:30,288.15,293.9448728965334
1970-01-24 08:18:00,288.15,293.9409828753942
1970-01-24 08:18:30,288.15,293.9370631723404
1970-01-24 08:19:00,288.15,293.9331141461895
1970-01-24 08:19:30,288.15,293.9291361720648
1970-01-24 08:20:00,288.15,293.9251296405641
1970-01-24 08:20:30,288.15,293.9210952386063
1970-01-24 08:21:00,288.15,293.91703570040966
1970-01-24 08:21:30,288.15,293.9129559864337
1970-01-24 08:22:00,288.15,293.9088621236728
1970-01-24 08:22:30,288.15,293.90476024568704
1970-01-24 08:23:00,288.15,293.9006560498286
1970-01-24 08:23:30,288.15,293.8965542263072
1970-01-24 08:24:00,288.15,293.8924572422046
1970-01-24 08:24:30,288.15,293.8883653003277
1970-01-24 08:25:00,288.15,293.88427728481895
1970-01-24 08:25:30,288.15,293.88019147037994
1970-01-24 08:26:00,288.15,293.8761059109777
1970-01-24 08:26:30,288.15,293.8720186236205
1970-01-24 08:27:00,288.15,293.8679276685132
1970-01-24 08:27:30,288.15,293.8638311687064
